# time lat lon alt
456.000 56.049118108 92.941353437 20000.000
457.000 56.049183243 92.941242510 20000.000
458.000 56.049248273 92.941131389 20000.000
459.000 56.049313201 92.941020074 20000.000
460.000 56.049378024 92.940908566 20000.000
461.000 56.049442744 92.940796865 20000.000
462.000 56.049507359 92.940684971 20000.000
463.000 56.049571870 92.940572884 20000.000
464.000 56.049636276 92.940460605 20000.000
465.000 56.049700578 92.940348135 20000.000
466.000 56.049764775 92.940235473 20000.000
467.000 56.049828867 92.940122619 20000.000
468.000 56.049892853 92.940009575 20000.000
469.000 56.049956735 92.939896340 20000.000
470.000 56.050020510 92.939782915 20000.000
471.000 56.050084180 92.939669299 20000.000
472.000 56.050147744 92.939555495 20000.000
473.000 56.050211202 92.939441500 20000.000
474.000 56.050274553 92.939327317 20000.000
475.000 56.050337798 92.939212945 20000.000
476.000 56.050400936 92.939098385 20000.000
477.000 56.050463968 92.938983636 20000.000
478.000 56.050526892 92.938868700 20000.000
479.000 56.050589710 92.938753576 20000.000
480.000 56.050652420 92.938638266 20000.000
481.000 56.050715022 92.938522768 20000.000
482.000 56.050777517 92.938407084 20000.000
483.000 56.050839904 92.938291214 20000.000
484.000 56.050902183 92.938175158 20000.000
485.000 56.050964353 92.938058916 20000.000
486.000 56.051026415 92.937942489 20000.000
487.000 56.051088369 92.937825877 20000.000
488.000 56.051150214 92.937709081 20000.000
489.000 56.051211950 92.937592101 20000.000
490.000 56.051273577 92.937474936 20000.000
491.000 56.051335095 92.937357589 20000.000
492.000 56.051396503 92.937240057 20000.000
493.000 56.051457802 92.937122343 20000.000
494.000 56.051518991 92.937004447 20000.000
495.000 56.051580070 92.936886368 20000.000
496.000 56.051641039 92.936768107 20000.000
497.000 56.051701897 92.936649664 20000.000
498.000 56.051762646 92.936531041 20000.000
499.000 56.051823283 92.936412236 20000.000
500.000 56.051883810 92.936293251 20000.000
501.000 56.051944226 92.936174085 20000.000
502.000 56.052004531 92.936054739 20000.000
503.000 56.052064724 92.935935214 20000.000
504.000 56.052124806 92.935815510 20000.000
505.000 56.052184777 92.935695626 20000.000
506.000 56.052244636 92.935575564 20000.000
507.000 56.052304382 92.935455324 20000.000
508.000 56.052364017 92.935334905 20000.000
509.000 56.052423539 92.935214309 20000.000
510.000 56.052482949 92.935093536 20000.000
511.000 56.052542246 92.934972586 20000.000
512.000 56.052601431 92.934851459 20000.000
513.000 56.052660503 92.934730156 20000.000
514.000 56.052719461 92.934608677 20000.000
515.000 56.052778306 92.934487022 20000.000
516.000 56.052837038 92.934365192 20000.000
517.000 56.052895656 92.934243187 20000.000
518.000 56.052954161 92.934121008 20000.000
519.000 56.053012551 92.933998654 20000.000
520.000 56.053070828 92.933876126 20000.000
521.000 56.053128990 92.933753425 20000.000
522.000 56.053187038 92.933630551 20000.000
523.000 56.053244971 92.933507503 20000.000
524.000 56.053302790 92.933384283 20000.000
525.000 56.053360493 92.933260891 20000.000
526.000 56.053418082 92.933137327 20000.000
527.000 56.053475555 92.933013592 20000.000
528.000 56.053532913 92.932889685 20000.000
529.000 56.053590156 92.932765607 20000.000
530.000 56.053647283 92.932641359 20000.000
531.000 56.053704294 92.932516941 20000.000
532.000 56.053761189 92.932392353 20000.000
533.000 56.053817967 92.932267596 20000.000
534.000 56.053874630 92.932142669 20000.000
535.000 56.053931176 92.932017574 20000.000
536.000 56.053987605 92.931892310 20000.000
537.000 56.054043918 92.931766879 20000.000
538.000 56.054100114 92.931641279 20000.000
539.000 56.054156192 92.931515512 20000.000
540.000 56.054212154 92.931389578 20000.000
541.000 56.054267997 92.931263478 20000.000
